Property1,Property2,Property 3,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25
,,,0,10,25,0,1373,75,1173,1640,2.085,1.289,1.189,0.545,13.086,1.764,7.312,0.131,0.948,1597.254,15.884,125.28,0.705,177.65,45.121,1080,30
,,,0,10,25,0,1373,75,1173,1520,2.085,1.289,1.189,0.545,13.086,1.764,7.312,0.131,0.948,1597.254,15.884,125.28,0.705,177.65,45.121,640,42
,,,0,10,25,0,1373,75,1173,1460,2.085,1.289,1.189,0.545,13.086,1.764,7.312,0.131,0.948,1597.254,15.884,125.28,0.705,177.65,45.121,440,63
,,,0,20,45,0,1373,75,1273,1025,2.085,1.289,1.189,0.545,13.086,1.764,7.312,0.131,0.948,1597.254,15.884,125.28,0.705,177.65,45.121,320,82
,,,0,20,45,0,1373,75,1223,640,2.085,1.289,1.189,0.545,13.086,1.764,7.312,0.131,0.948,1597.254,15.884,125.28,0.705,177.65,45.121,378.7,54
,,,0,20,45,0,1373,75,1173,175,2.085,1.289,1.189,0.545,13.086,1.764,7.312,0.131,0.948,1597.254,15.884,125.28,0.705,177.65,45.121,520.9,40
,,,0,20,45,0,1373,75,1073,1375,2.112,1.28,1.185,0.524,13.149,1.784,7.384,0.113,0.834,1626.428,15.832,124.65,0.731,184.025,54.238,643.8,32
,,,0,10,25,0,1373,75,1173,1155,2.112,1.28,1.185,0.524,13.149,1.784,7.384,0.113,0.834,1626.428,15.832,124.65,0.731,184.025,54.238,272,47
,,,0,10,15,0,1373,75,1173,1155,2.112,1.28,1.185,0.524,13.149,1.784,7.384,0.113,0.834,1626.428,15.832,124.65,0.731,184.025,54.238,743,49
,,,0,10,5,0,1373,75,1173,1070,2.112,1.28,1.185,0.524,13.149,1.784,7.384,0.113,0.834,1626.428,15.832,124.65,0.731,184.025,54.238,733,19
427,70.1,0,0,10,0,0,1373,75,1173,605,2.112,1.28,1.185,0.524,13.149,1.784,7.384,0.113,0.834,1626.428,15.832,124.65,0.731,184.025,54.238,807,14
359,55.8,0,0,10,5,0,1373,75,1273,130,2.112,1.28,1.185,0.524,13.149,1.784,7.384,0.113,0.834,1626.428,15.832,124.65,0.731,184.025,54.238,939,14
345,57.2,0,0,10,2.5,0,1373,75,1273,990,2.16,1.262,1.173,0.496,14.24,1.818,7.364,0.11,0.847,1705.102,14.462,142.523,0.819,202.41,45.923,401,48
374,66.5,1,0,10,0,0,1373,75,1273,950,2.16,1.262,1.173,0.496,14.24,1.818,7.364,0.11,0.847,1705.102,14.462,142.523,0.819,202.41,45.923,740,43.9
294,36,0,0,10,15,0,1373,75,1173,645,2.16,1.262,1.173,0.496,14.24,1.818,7.364,0.11,0.847,1705.102,14.462,142.523,0.819,202.41,45.923,390,57
257,60.2,1,0,10,5,0,1373,75,1223,360,2.16,1.262,1.173,0.496,14.24,1.818,7.364,0.11,0.847,1705.102,14.462,142.523,0.819,202.41,45.923,530,60
397,40,1,0,10,5,0,1473,50,1123,125,2.16,1.262,1.173,0.496,14.24,1.818,7.364,0.11,0.847,1705.102,14.462,142.523,0.819,202.41,45.923,615.8,52.8
470,44,1,0,10,10,0,1373,80,1173,1350,2.168,1.272,1.178,0.507,15.042,1.793,7.204,0.14,1.09,1781.973,11.911,165.77,0.863,207.11,9.198,1506,10
451,49.4,0,0,10,5,0,1373,80,1173,1220,2.168,1.272,1.178,0.507,15.042,1.793,7.204,0.14,1.09,1781.973,11.911,165.77,0.863,207.11,9.198,1110,20.6
